row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
472,0,0,0.17820846011934444,1886347_4615_4619,1886347.0,4615.0,50131.0,50163.0,795505.0,Newcastle,1805.0,65.56742255114197,high_block,0.0,472,1886347.0,1,1
475,1,1,0.8933168325707652,1886347_4841_4878,1886347.0,4841.0,56777.0,56825.0,14736.0,Auckland FC,4177.0,70.22015451421336,transition/quick_break,1.0,475,1886347.0,0,1
498,0,1,0.869470996499681,1886347_4887_4896,1886347.0,4896.0,57138.0,57138.0,43829.0,Auckland FC,4177.0,38.683966963071406,chaotic/disruption,0.0,498,1886347.0,0,0
499,1,1,0.8113783585072721,1886347_4897_4919,1886347.0,4897.0,57174.0,57199.0,176224.0,Newcastle,1805.0,79.73200423920122,medium_block,1.0,499,1886347.0,0,0
525,0,0,0.4909734635505097,1899585_260_275,1899585.0,260.0,3211.0,3211.0,27003.0,Wellington P FC,867.0,50.39605143262714,chaotic/disruption,0.0,525,1899585.0,1,1
530,0,0,0.3463025878800631,1899585_260_275,1899585.0,275.0,3262.0,3262.0,4322.0,Auckland FC,4177.0,71.66519727175807,chaotic/disruption,0.0,530,1899585.0,1,1
531,1,1,0.5133449588129565,1899585_309_351,1899585.0,309.0,3547.0,3597.0,133501.0,Auckland FC,4177.0,56.932310685585215,low_block,1.0,531,1899585.0,1,1
549,0,1,0.7267053693485587,1899585_358_382,1899585.0,358.0,3890.0,3922.0,51046.0,Wellington P FC,867.0,39.54458875750259,medium_block,0.0,549,1899585.0,1,1
559,0,1,0.6258397919466168,1899585_391_405,1899585.0,391.0,4158.0,4175.0,50951.0,Auckland FC,4177.0,55.93153850914527,medium_block,0.0,559,1899585.0,1,1
567,1,1,0.6886843922524619,1899585_900_928,1899585.0,900.0,9253.0,9265.0,133501.0,Auckland FC,4177.0,45.8956479418256,medium_block,1.0,567,1899585.0,1,1
580,0,0,0.35944619326319577,1899585_1007_1010,1899585.0,1007.0,10757.0,10757.0,285188.0,Auckland FC,4177.0,102.31335445580896,chaotic/disruption,0.0,580,1899585.0,1,0
582,0,1,0.6208649736487458,1899585_1014_1035,1899585.0,1014.0,10797.0,10797.0,51046.0,Wellington P FC,867.0,40.72385050556983,low_block,0.0,582,1899585.0,1,1
591,0,1,0.5872844437044752,1899585_1038_1094,1899585.0,1038.0,10935.0,10955.0,14736.0,Auckland FC,4177.0,61.33493050456648,medium_block,0.0,591,1899585.0,1,1
611,1,1,0.6767047056893737,1899585_1099_1117,1899585.0,1099.0,11269.0,11297.0,50951.0,Auckland FC,4177.0,47.38338210807667,medium_block,1.0,611,1899585.0,1,1
626,1,1,0.5835056522355432,1899585_1099_1122,1899585.0,1122.0,11412.0,11412.0,51015.0,Wellington P FC,867.0,94.7493329791825,medium_block,1.0,626,1899585.0,1,0
638,1,1,0.8587514042587353,1899585_1237_1253,1899585.0,1237.0,14161.0,14228.0,51046.0,Wellington P FC,867.0,56.31569053114772,transition/quick_break,1.0,638,1899585.0,1,1
645,1,1,0.5301799873167176,1899585_1258_1282,1899585.0,1258.0,14304.0,14310.0,51028.0,Wellington P FC,867.0,43.49971264272903,chaotic/disruption,1.0,645,1899585.0,1,1
674,1,0,0.39985047490324027,1899585_1258_1292,1899585.0,1292.0,14707.0,14718.0,38673.0,Auckland FC,4177.0,61.93516125756031,chaotic/disruption,1.0,674,1899585.0,1,1
675,1,1,0.5289248724681845,1899585_1372_1414,1899585.0,1372.0,17041.0,17055.0,51028.0,Wellington P FC,867.0,68.84882715050416,medium_block,1.0,675,1899585.0,1,1
