error,Unique ID,event_row_index,max_player_targeted_xthreat,player_targeted_dangerous,n_passing_options_dangerous_not_difficult
no_player_id,1886347_2285_2325,153,,,
no_player_id,1886347_2285_2325,154,,,
no_player_id,1886347_2285_2325,155,,,
no_player_id,1886347_2285_2325,156,,,
no_player_id,1886347_2285_2325,157,,,
no_player_id,1886347_2285_2325,158,,,
no_player_id,1886347_2328_2360,159,,,
no_player_id,1886347_2328_2360,160,,,
no_player_id,1886347_2328_2360,161,,,
no_player_id,1886347_2328_2360,162,,,
no_player_id,1886347_2328_2360,163,,,
no_player_id,1886347_2328_2360,164,,,
no_player_id,1886347_2328_2360,165,,,
no_player_id,1886347_2328_2360,166,,,
no_player_id,1886347_2328_2360,167,,,
no_player_id,1886347_2328_2360,168,,,
no_player_id,1886347_2328_2360,169,,,
no_player_id,1886347_2328_2360,170,,,
no_player_id,1886347_2328_2360,171,,,
no_player_id,1886347_2328_2360,172,,,
no_player_id,1886347_2814_2864,173,,,
no_player_id,1886347_2814_2864,174,,,
no_player_id,1886347_2814_2864,175,,,
no_player_id,1886347_2814_2864,176,,,
no_player_id,1886347_2814_2864,177,,,
no_player_id,1886347_2814_2864,178,,,
no_player_id,1886347_2814_2864,179,,,
no_player_id,1886347_2814_2864,180,,,
no_player_id,1886347_2814_2864,181,,,
no_player_id,1886347_2814_2864,182,,,
no_player_id,1886347_2814_2864,183,,,
no_player_id,1886347_2814_2864,184,,,
no_player_id,1886347_2814_2864,185,,,
no_player_id,1886347_2814_2864,186,,,
no_player_id,1886347_2814_2864,187,,,
no_player_id,1886347_2814_2864,188,,,
no_player_id,1886347_2814_2864,189,,,
no_player_id,1886347_2814_2864,190,,,
no_player_id,1886347_2814_2869,191,,,
no_player_id,1886347_2814_2869,192,,,
no_player_id,1886347_2814_2869,193,,,
no_player_id,1886347_2814_2869,194,,,
no_player_id,1886347_2814_2869,195,,,
no_player_id,1886347_2814_2869,196,,,
no_player_id,1886347_2814_2869,197,,,
no_player_id,1886347_2814_2869,198,,,
no_player_id,1886347_2814_2869,199,,,
no_player_id,1886347_2814_2869,200,,,
no_player_id,1886347_2814_2869,201,,,
no_player_id,1886347_2814_2869,202,,,
no_player_id,1886347_2814_2869,203,,,
no_player_id,1886347_2814_2869,204,,,
no_player_id,1886347_2814_2869,205,,,
no_player_id,1886347_2814_2869,206,,,
no_player_id,1886347_2814_2869,207,,,
no_player_id,1886347_2814_2869,208,,,
no_player_id,1886347_2814_2869,209,,,
no_player_id,1886347_2814_2927,210,,,
no_player_id,1886347_2814_2927,211,,,
no_player_id,1886347_2814_2927,212,,,
no_player_id,1886347_2814_2927,213,,,
no_player_id,1886347_2814_2927,214,,,
no_player_id,1886347_2814_2927,215,,,
no_player_id,1886347_2814_2927,216,,,
no_player_id,1886347_2814_2927,217,,,
no_player_id,1886347_2814_2927,218,,,
no_player_id,1886347_2814_2927,219,,,
no_player_id,1886347_2814_2927,220,,,
no_player_id,1886347_2814_2927,221,,,
no_player_id,1886347_2814_2927,222,,,
no_player_id,1886347_2814_2927,223,,,
no_player_id,1886347_2814_2927,224,,,
no_player_id,1886347_2814_2927,225,,,
no_player_id,1886347_2814_2927,226,,,
no_player_id,1886347_2814_2927,227,,,
no_player_id,1886347_2814_2927,228,,,
no_player_id,1886347_2814_2927,229,,,
no_player_id,1886347_2814_2927,230,,,
no_player_id,1886347_2814_2927,231,,,
no_player_id,1886347_2814_2927,232,,,
no_player_id,1886347_2814_2927,233,,,
no_player_id,1886347_2814_2927,234,,,
no_player_id,1886347_2814_2927,235,,,
no_player_id,1886347_2814_2927,236,,,
no_player_id,1886347_2814_2927,237,,,
no_player_id,1886347_2814_2927,238,,,
no_player_id,1886347_2814_2927,239,,,
no_player_id,1886347_2814_2927,240,,,
no_player_id,1886347_2814_2927,241,,,
no_player_id,1886347_2814_2927,242,,,
no_player_id,1886347_2814_2927,243,,,
no_player_id,1886347_2814_2927,244,,,
no_player_id,1886347_2814_2927,245,,,
no_player_id,1886347_2814_2927,246,,,
no_player_id,1886347_2814_2927,247,,,
no_player_id,1886347_2814_2927,248,,,
no_player_id,1886347_2814_2927,249,,,
no_player_id,1886347_2814_2927,250,,,
no_player_id,1886347_2814_2927,251,,,
no_player_id,1886347_2814_2927,252,,,
no_player_id,1886347_2814_2927,253,,,
no_player_id,1886347_2814_2927,254,,,
no_player_id,1886347_2814_2927,255,,,
no_player_id,1886347_2870_2948,256,,,
no_player_id,1886347_2870_2948,257,,,
no_player_id,1886347_2870_2948,258,,,
no_player_id,1886347_2870_2948,259,,,
no_player_id,1886347_2870_2948,260,,,
no_player_id,1886347_2870_2948,261,,,
no_player_id,1886347_2870_2948,262,,,
no_player_id,1886347_2870_2948,263,,,
no_player_id,1886347_2870_2948,264,,,
no_player_id,1886347_2870_2948,265,,,
no_player_id,1886347_2870_2948,266,,,
no_player_id,1886347_2870_2948,267,,,
no_player_id,1886347_2870_2948,268,,,
no_player_id,1886347_2870_2948,269,,,
no_player_id,1886347_2870_2948,270,,,
no_player_id,1886347_2870_2948,271,,,
no_player_id,1886347_2870_2948,272,,,
no_player_id,1886347_2870_2948,273,,,
no_player_id,1886347_2870_2948,274,,,
no_player_id,1886347_2870_2948,275,,,
no_player_id,1886347_2870_2948,276,,,
no_player_id,1886347_2870_2948,277,,,
no_player_id,1886347_2870_2948,278,,,
no_player_id,1886347_2870_2948,279,,,
no_player_id,1886347_2870_2948,280,,,
no_player_id,1886347_2870_2948,281,,,
no_player_id,1886347_2870_2948,282,,,
no_player_id,1886347_2870_2948,283,,,
no_player_id,1886347_2870_2948,284,,,
no_player_id,1886347_2870_2948,285,,,
no_player_id,1886347_2870_2948,286,,,
no_player_id,1886347_2870_2948,287,,,
no_player_id,1886347_2870_2948,288,,,
no_player_id,1886347_2870_2948,289,,,
no_player_id,1886347_2870_2948,290,,,
no_player_id,1886347_2870_2948,291,,,
no_player_id,1886347_2870_2948,292,,,
no_player_id,1886347_2870_2948,293,,,
no_player_id,1886347_2933_2951,294,,,
no_player_id,1886347_2933_2951,295,,,
no_player_id,1886347_2933_2951,296,,,
no_player_id,1886347_2933_2951,297,,,
no_player_id,1886347_2933_2951,298,,,
no_player_id,1886347_2933_2951,299,,,
no_player_id,1886347_2933_2951,300,,,
no_player_id,1886347_2933_2951,301,,,
no_player_id,1886347_2933_2951,302,,,
no_player_id,1886347_2933_2951,303,,,
no_player_id,1886347_2933_2951,304,,,
no_player_id,1886347_3028_3057,305,,,
no_player_id,1886347_3028_3057,306,,,
no_player_id,1886347_3028_3057,307,,,
no_player_id,1886347_3028_3057,308,,,
no_player_id,1886347_3028_3057,309,,,
no_player_id,1886347_3028_3057,310,,,
no_player_id,1886347_3028_3057,311,,,
no_player_id,1886347_3028_3057,312,,,
no_player_id,1886347_3028_3057,313,,,
no_player_id,1886347_3028_3057,314,,,
no_player_id,1886347_3028_3057,315,,,
no_player_id,1886347_3028_3057,316,,,
no_player_id,1886347_3297_3317,317,,,
no_player_id,1886347_3297_3317,318,,,
no_player_id,1886347_3297_3317,319,,,
no_player_id,1886347_3297_3317,320,,,
no_player_id,1886347_3297_3317,321,,,
no_player_id,1886347_3297_3317,322,,,
no_player_id,1886347_3297_3317,323,,,
no_player_id,1886347_3297_3317,324,,,
no_player_id,1886347_3444_3465,325,,,
no_player_id,1886347_3444_3465,326,,,
no_player_id,1886347_3444_3465,327,,,
no_player_id,1886347_3444_3465,328,,,
no_player_id,1886347_3444_3465,329,,,
no_player_id,1886347_3444_3465,330,,,
no_player_id,1886347_3444_3465,331,,,
no_player_id,1886347_3444_3465,332,,,
no_player_id,1886347_3444_3465,333,,,
no_player_id,1886347_3505_3508,334,,,
no_player_id,1886347_3505_3508,335,,,
no_player_id,1886347_3505_3508,336,,,
no_player_id,1886347_3646_3665,337,,,
no_player_id,1886347_3646_3665,338,,,
no_player_id,1886347_3646_3665,339,,,
no_player_id,1886347_3646_3665,340,,,
no_player_id,1886347_3646_3665,341,,,
no_player_id,1886347_3646_3665,342,,,
no_player_id,1886347_3646_3665,343,,,
no_player_id,1886347_3646_3665,344,,,
no_player_id,1886347_3646_3665,345,,,
no_player_id,1886347_3646_3665,346,,,
no_player_id,1886347_3660_3674,347,,,
no_player_id,1886347_3660_3674,348,,,
no_player_id,1886347_3660_3674,349,,,
no_player_id,1886347_3660_3674,350,,,
no_player_id,1886347_3660_3674,351,,,
