x,y,player_id,is_detected,frame,timestamp,period,possession_player_id,possession_group,ball_x,ball_y,ball_z,is_detected_ball,match_id
-45.61,-7.9,176224,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-47.67,-0.02,51649,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-43.88,-17.41,50983,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-46.71,8.52,735578,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-32.85,-6.93,50978,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-35.55,-17.46,735574,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-11.15,-3.68,795507,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-26.36,-22.55,795505,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-37.82,7.5600000000000005,735573,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-4.39,-11.01,966120,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
28.96,-1.6400000000000001,285188,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-0.8200000000000001,-0.54,51667,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-1.5,-13.14,33697,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-15.69,10.39,51713,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-19.52,-22.47,133498,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-20.11,-3.04,14736,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-43.95,-19.97,23418,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
