row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
5656,0,0,0.357876260433261,2013725_2618_2618,2013725.0,2618.0,42761.0,42785.0,133853.0,Sydney FC,869.0,74.34655674609282,chaotic/disruption,0.0,5656,2013725.0,0,0
305,0,1,0.6858797732758761,1886347_3028_3057,1886347.0,3028.0,30012.0,30012.0,965685.0,Auckland FC,4177.0,44.89486941733988,medium_block,0.0,305,1886347.0,1,1
2652,1,1,0.7862015279258486,1996435_5140_5172,1996435.0,5140.0,55771.0,55791.0,808608.0,Adelaide United,866.0,62.715741245719165,transition/quick_break,1.0,2652,1996435.0,0,1
1961,1,1,0.7858823577110597,1953632_3797_3852,1953632.0,3852.0,45003.0,45003.0,104563.0,Melbourne City,2380.0,88.45183661179682,transition/quick_break,1.0,1961,1953632.0,1,0
3761,0,0,0.32276239863868106,2013725_2421_2436,2013725.0,2421.0,31295.0,31315.0,133853.0,Sydney FC,869.0,48.0355129045168,chaotic/disruption,0.0,3761,2013725.0,0,1
1579,0,0,0.3407669068162068,1925299_4286_4308,1925299.0,4286.0,49655.0,49664.0,560988.0,Perth Glory,871.0,63.68221494263528,medium_block,0.0,1579,1925299.0,0,1
388,1,1,0.8477540759718039,1886347_4236_4294,1886347.0,4236.0,47322.0,47322.0,38673.0,Auckland FC,4177.0,39.455101064374425,transition/quick_break,1.0,388,1886347.0,1,0
4527,0,1,0.6909350518309161,2015213_3755_3777,2015213.0,3777.0,58056.0,58056.0,818284.0,Western United,1803.0,53.61857327456597,medium_block,0.0,4527,2015213.0,0,1
5280,0,0,0.25071187228441194,1886347_2951_2951,1886347.0,2951.0,29473.0,29477.0,965685.0,Auckland FC,4177.0,46.43554780553364,chaotic/disruption,0.0,5280,1886347.0,1,1
3860,0,0,0.4382689117966682,2013725_3359_3400,2013725.0,3359.0,52982.0,53005.0,26844.0,Western United,1803.0,82.4847646538438,chaotic/disruption,0.0,3860,2013725.0,0,0
2410,1,0,0.17853532028386604,1996435_2354_2401,1996435.0,2354.0,22173.0,22318.0,51644.0,Sydney FC,869.0,61.93882304338693,high_block,1.0,2410,1996435.0,0,1
3370,1,0,0.16242512730455327,2011166_2774_2786,2011166.0,2786.0,51685.0,51685.0,51714.0,Melbourne V FC,868.0,61.50176745427728,chaotic/disruption,1.0,3370,2011166.0,0,1
5720,0,0,0.35012323646462085,2015213_351_351,2015213.0,351.0,5258.0,5268.0,4322.0,Auckland FC,4177.0,93.0831160844973,chaotic/disruption,0.0,5720,2015213.0,1,0
5754,0,0,0.1675302414192337,2015213_2547_2547,2015213.0,2547.0,40929.0,40929.0,560916.0,Western United,1803.0,59.70389015801232,chaotic/disruption,0.0,5754,2015213.0,0,1
659,1,0,0.2433738094984063,1899585_1258_1292,1899585.0,1258.0,14304.0,14310.0,51028.0,Wellington P FC,867.0,43.49971264272903,chaotic/disruption,1.0,659,1899585.0,1,1
775,0,1,0.6306214075581396,1899585_2202_2247,1899585.0,2202.0,26518.0,26518.0,133498.0,Auckland FC,4177.0,36.39989697787619,low_block,0.0,775,1899585.0,0,0
722,0,0,0.46494870234091407,1899585_1628_1645,1899585.0,1645.0,20580.0,20580.0,51017.0,Wellington P FC,867.0,60.95824882655341,medium_block,0.0,722,1899585.0,0,1
2149,1,0,0.4119470187575186,1996435_555_573,1996435.0,573.0,4457.0,4457.0,18573.0,Sydney FC,869.0,80.13179955548235,chaotic/disruption,1.0,2149,1996435.0,1,0
5009,0,1,0.6654674614685823,2017461_3171_3190,2017461.0,3171.0,55444.0,55464.0,811820.0,Melbourne V FC,868.0,53.53349792419696,medium_block,0.0,5009,2017461.0,0,1
